field_source,field,field_description
admon,memberOf,The memberOf field is no longer available since version 4.0.  Instead the member field in the AD_Obj_Group field is the central field that contains group membership information. Use | lookup AD_Obj_Group member AS dn OUTPUT dn AS memberOf in your search to get the User/Computer/Group membership information.
admon,msDS-SupportedEncryptionTypes,"The encryption algorithms supported by user, computer or trust accounts. (Note The KDC uses this information while generating a service ticket for this account. Services and Computers can automatically update this attribute on their respective accounts in Active Directory, and therefore need write access to this attribute.)"
admon,name,name = Guy Thomas.Ê Exactly the same as CN.
admon,objectCategory,"Defines the Active Directory Schema category. For example, objectCategory = Person"
admon,objectClass,"Usually, User, or Computer"
admon,objectGUID,The unique identifier for an object.
admon,objectSid,A binary value that specifies the security identifier (SID) of the user. The SID is a unique value used to identify the user as a security principal.
custom,OU,Is the OU/Container Name where the Object is located.
admon,physicalDeliveryOfficeName,Contains the office location in the user's place of business.
admon,postalCode,The postal or zip code for mail delivery.
admon,primaryGroupID,"Contains the relative identifier (RID) for the primary group of the user. By default, this is the RID for the Domain Users group."
admon,pwdLastSet,"The date and time that the password for this account was last changed. This value is stored as a large integer that represents the number of 100 nanosecond intervals since January 1, 1601 (UTC). If this value is set to 0 and the User-Account-Control attribute does not contain the UF_DONT_EXPIRE_PASSWD flag, then the user must set the password at the next logon."
admon,sAMAccountName,"This is a mandatory property, sAMAccountName = guyt.Ê The old NT 4.0 logon name, must be unique in the domain.Ê"
admon,sAMAccountType,The sAMAccountType attribute specifies an integer that represents the account type. This is set by the operating system when the object is created.
admon,servicePrincipalName,List of principal names used for mutual authentication with an instance of a service on this computer.
admon,showInAdvancedViewOnly,TRUE if this attribute is to be visible in the Advanced mode of the UI.
admon,sn,The user's surname (family name or last name).
custom,src_nt_domain,"Using dn to create the fqdn, then populating this with the netbios name using Splunk collected ad data."
admon,tail,
custom,uac_bin_map,This field contains the converted binary value for the userAccountControl value. It is used for determining the settings configured for the User Account.
custom,uac_details,"This field contains the text string values from the uac_binmap field, displaying the User Account Settings configured for the User Account."
admon,userAccountControl,"Used to disable an account.Ê A value of 514 disables the account, while 512 makes the account ready for logon. (Ex. Enable (512) / disable account (514))"
admon,userPrincipalName,"userPrincipalName = guyt@CP.comÊ Often abbreviated to UPN, and looks like an email address.Ê Very useful for logging on especially in a large Forest.Ê Note UPN must be unique in the forest."
admon,userWorkstations,Contains the NetBIOS or DNS names of the computers running WindowsÊNT Workstation or WindowsÊ2000 Professional from which the user can log on. Each NetBIOS name is separated by a comma. Multiple names should be separated by commas.
admon,uSNChanged,"The update sequence number (USN) assigned by the local directory for the latest change, including creation. See also , USN-Created."
admon,uSNCreated,"The update sequence number (USN) assigned at object creation. See also, USN-Changed"
admon,whenChanged,The date when this object was last changed. This value is not replicated and exists in the global catalog.
admon,whenCreated,The date when this object was created. This value is replicated and is in the global catalog.
